Отметка времени,Возраст,Пол,Город,Position,Опыт работы в Европе (сколько лет),Опыт работы в целом (сколько лет),Текущая ЗП,ЗП год назад,Какая была первая ЗП в Европе,Какая по счету у вас сейчас работа в Европе,Основной язык на работе,Размер компании,Тип компании,Level
30.12.2015 11:48:42,26,m,Berlin,PHP developer,1,5,51000,39000,39000,2,English,больше 100,Продуктовая,
30.12.2015 11:56:36,31,m,Berlin,Senior PHP Developer,2,12,52000,40000,40000,1,English,10-50,Продуктовая,
30.12.2015 11:57:37,29,m,Berlin, Android Developer,1,5,65000,55000,55000,2,English,больше 100,Продуктовая,
30.12.2015 11:58:54,31,m,Berlin,Project manager ,1,5,55000,24000,55000,1,English,больше 100,Продуктовая,
30.12.2015 12:00:48,33,m,Berlin,Senior Software Engineer,16,16,75000,72000,65000,3,English,10-50,Стартап,
30.12.2015 12:03:58,28,m,Berlin,Javascript developer,1,8,50000,,50000,1,English,больше 100,Продуктовая,
30.12.2015 12:05:42,33,m,Berlin,Frontend Developer,1,9,58000,,58000,1,English,до 10 сотрудников,Стартап,
30.12.2015 12:05:46,31,m,Berlin,Java Dev,2,14,60000,50000,48000,4,English,больше 100,Продуктовая,
30.12.2015 12:10:55,35,m,Berlin,Mobile team lead,4,13,75000,63000,50000,2,English,10-50,Продуктовая,
30.12.2015 12:11:02,36,m,Berlin,Infrastructure Developer (Python),0,15,56000,,56000,1,English,больше 100,Стартап,
30.12.2015 12:16:10,29,m,Berlin,Software Engenier,3,10,67000,63000,42000,2,English,больше 100,Продуктовая,
30.12.2015 12:23:35,32,m,Berlin,Sr iOS Developer,2,7,56000,49000,42000,1,English,больше 100,Продуктовая,
30.12.2015 12:31:34,33,m,Berlin,Sr Front End,1,8,55000,42000,,1,English,50-100,Продуктовая,
30.12.2015 12:41:10,37,m,Karlsruhe,Software Test Engineer,4,11,43000,42000,36000,2,Deutsch,больше 100,Продуктовая,
30.12.2015 12:48:07,26,m,Berlin,PHP Developer,0.5,7,40000,-,40000,1,English,50-100,Стартап,
30.12.2015 12:47:59,28,m,Berlin,Software Engineer,2,10,75000,62000,60000,1,English,больше 100,Продуктовая,
30.12.2015 12:48:24,31,m,Berlin,lead developer,2,10,72000,65000,55000,2,English,10-50,Стартап,
30.12.2015 12:52:20,34,m,Berlin,Senior Software Engineer,4,10,63600,54000,24000,2,English,10-50,Стартап,
30.12.2015 13:01:06,25,m,Hamburg,Head of Engineering,2,5,90000,60000,45000,1,English,больше 100,Продуктовая,
30.12.2015 13:02:46,29,m,Berlin,Full Stack Developer,7,7,60000,60000,32000,5,Deutsch,10-50,Агентство,
30.12.2015 13:08:48,31,m,Berlin,Android Developer,5,5,48000,42000,30000,5,Deutsch,50-100,Продуктовая,
30.12.2015 13:16:00,36,m,Berlin,.Net Developer,7,7,48000,46000,32000,5,Deutsch,больше 100,Другое,
30.12.2015 13:16:37,30,f,Berlin,Senior Consultant big Four ,5,11,52000,50000,32400,2,Deutsch,больше 100,Другое,
30.12.2015 13:22:35,35,m,Berlin,Senior Software Engineer,1,9,62000,62000,62000,1,other,больше 100,Другое,
30.12.2015 13:40:05,30,m,Berlin,System Administrator/Devops,0.696,10,55000,42000,42000,2,English,50-100,Стартап,
30.12.2015 13:47:52,34,m,Berlin,Senior Developer,3,12,72000,64000,54000,1,English,10-50,Продуктовая,
30.12.2015 13:54:12,32,m,Berlin,PPP Team lead,0.5,7,60000,55000,55000,2,English,10-50,Стартап,
30.12.2015 14:00:03,25,m,Berlin,Senior QA Engineer,1,5,40000,-,40000,1,English,больше 100,Продуктовая,
30.12.2015 14:34:22,30,m,Berlin,Data Engineer ,0.5,0.5,60000,60000,60000,1,English,50-100,Продуктовая,
30.12.2015 14:40:24,27,m,Berlin,Senior PHP Developer,3,8,60000,60000,45000,2,English,больше 100,Продуктовая,
30.12.2015 14:41:36,33,m,Dortmund,Senior Software Engineer,1,12,50000,50000,50000,1,English,50-100,Продуктовая,
30.12.2015 14:49:01,26,m,Berlin,Ruby develoer,1,4,48000,42000,42000,1,English,до 10 сотрудников,Стартап,
30.12.2015 15:08:35,31,m,Berlin,Senior Web Developer,1,8,50000,50000,50000,1,Deutsch,10-50,Стартап,
30.12.2015 15:27:57,30,m,Berlin,Senior PHP developer,2,8,52000,55000,55000,2,English,50-100,Продуктовая,
30.12.2015 15:42:54,27,m,Berlin,Senior Frontend Engineer,1,8,60000,54000,54000,1,English,больше 100,Продуктовая,
30.12.2015 15:45:49,31,m,Berlin,Senior Python Developer,1,8,54000,48000,48000,1,English,10-50,Агентство,
30.12.2015 16:03:55,34,m,Berlin,Senior Java Developer,8,14,57000,57000,42000,3,Deutsch,больше 100,Другое,
30.12.2015 16:29:09,28,m,Frankfurt,Ruby developer,0,8,51000,,51000,1,English,50-100,Продуктовая,
30.12.2015 16:51:51,26,m,Berlin,,,,67000,44000,44000,2,English,больше 100,Продуктовая,
30.12.2015 17:09:34,29,m,Berlin,Lead Software Engineer,2.5,9,70000,56000,56000,2,English,больше 100,Другое,
30.12.2015 17:30:00,27,m,Berlin,Senior Android Developer,5,5,72000,60000,,2,English,больше 100,Стартап,
30.12.2015 17:59:06,32,m,Berlin,Senior Product Manager,1,10,65000,65000,65000,1,English,10-50,Продуктовая,
30.12.2015 20:11:47,25,f,Berlin,Junior Python Developer,1,2,38000,10000,10000,2,English,больше 100,Стартап,
30.12.2015 20:50:45,30,m,Berlin,Senior Product Manager,5,10,95000,92000,66000,3,English,больше 100,Стартап,
30.12.2015 21:37:10,26,m,Berlin,Senior iOS Engineer,3,6,85000,85000,46000,2,English,50-100,Продуктовая,
30.12.2015 21:41:41,30,m,Berlin,Senior Lead Software Engineer,"0,5",11,60000,,54000,1,English,10-50,Стартап,
30.12.2015 21:42:59,29,m,,Senior Software Developer,3,9,66000,,45000,3,Deutsch,больше 100,Продуктовая,
30.12.2015 21:43:45,25,m,Berlin,Software Developer,"1,5",4,38400,37200,37200,1,Deutsch,10-50,Другое,
30.12.2015 21:52:39,29,m,,Softwareentwickler im Test,3,6,44000,43000,40000,1,Deutsch,больше 100,Продуктовая,
30.12.2015 22:40:17,34,m,Berlin,Senior Ruby Developer,1,12,56000,48000,48000,1,English,10-50,Продуктовая,
30.12.2015 22:59:07,25,m,Berlin,Senior Ruby Dev,1,7,48000,,48000,1,English,10-50,Продуктовая,
30.12.2015 23:06:30,26,m,Berlin,Embedded Software Engineer,1,4,54000,50000,50000,1,English,10-50,Стартап,
30.12.2015 23:42:40,37,m,Berlin,Senior Algorithmic Developer,2,12,68000,65000,65000,2,English,больше 100,Продуктовая,
31.12.2015 1:19:13,37,m,Berlin,Senior Software Developer,10,12,50000,50000,42000,3,Deutsch,больше 100,Другое,
31.12.2015 1:47:21,,m,,Developer,25,40,40000,40000,,,,,,
31.12.2015 9:59:12,25,f,Berlin ,Mobile Developer ,4,4,50000,32000,28000,2,English,больше 100,Стартап,
31.12.2015 11:05:49,28,m,Berlin,Senior QA Analyst,1,7,45000,65000,65000,2,English,больше 100,Продуктовая,
31.12.2015 13:17:50,30,m,Berlin,Senior .NET/JS Developer,2,9,44000,38000,36000,1,English,больше 100,Продуктовая,
31.12.2015 13:28:57,30,m,Bonn,Information Security Consultant,3,7,43000,41000,38000,1,Deutsch,50-100,Другое,Диапазон: от 40 до 97000. Большинство значений варьируется на уровне 56800 ± 8790.
31.12.2015 14:49:31,31,f,Berlin,Salesforce Developer,3,7,58000,45000,36000,2,English,больше 100,Стартап,
31.12.2015 15:12:47,29,m,Fürth,Java Developer,5,11,60000,60000,20000,3,Deutsch,10-50,Другое,
31.12.2015 17:40:06,29,m,Berlin,Senior PHP Developer,0,4,48000,22000,48000,1,English,50-100,Стартап,
31.12.2015 22:28:18,38,m,Berlin,Senior Software Engineer,2.5,15,55000,50400,50400,1,English,до 10 сотрудников,Стартап,
01.01.2016 18:26:44,27,m,Berlin,Senior Java Developer,0.5,7,55000,,55000,1,English,больше 100,Стартап,
01.01.2016 20:03:09,26,m,München,Senior Software Engineer,3,9,75000,60000,50000,2,English,больше 100,Продуктовая,
01.01.2016 20:08:42,24,m,Berlin,Software Developer,0,3,52000,52000,52000,1,English,больше 100,Продуктовая,
01.01.2016 20:13:58,38,m,Berlin,frontend developer,0.5,13,53000,50000,50000,1,English,больше 100,Стартап,
01.01.2016 20:53:41,32,m,Berlin,Senior PHP Developer,2,11,60000,50000,50000,2,English,50-100,Продуктовая,
01.01.2016 22:25:28,29,m,München,Php developer,1,5,55000,45000,45000,1,English,больше 100,Продуктовая,
01.01.2016 22:33:51,26,m,München,Android developer,3,5,63000,52000,44000,2,English,больше 100,Продуктовая,
01.01.2016 22:39:35,26,m,Berlin,Senior PHP Developer,2,6,50000,48000,36000,3,English,больше 100,Продуктовая,
01.01.2016 22:45:26,28,m,Nürnberg,Ruby and Rails Developer,1,9,48000,48000,48000,1,English,больше 100,Продуктовая,
01.01.2016 22:51:02,26,m,Berlin,Senior Frontend Developer,3,5,55000,47000,42000,3,English,10-50,Стартап,
01.01.2016 22:57:27,32,f,München,Software engineer,8,8,76000,70000,38000,3,English,50-100,Стартап,
01.01.2016 22:58:53,29,m,Штутгарт,Senior .NET Developer,0,8,60000,,60000,1,Deutsch,до 10 сотрудников,Другое,
01.01.2016 23:08:38,29,m,München,Advanced Java developer ,1,8,55000,,55000,1,Deutsch,больше 100,Продуктовая,
01.01.2016 23:27:32,25,m,Hamburg,Senior frontend developer,0.2,5.5,50000,,50000,1,English,больше 100,Продуктовая,
01.01.2016 23:44:46,27,m,München,Web developer,"0,3",6,52000,,52000,1,English,50-100,Продуктовая,
02.01.2016 4:41:15,30,m,München,IT Project Manager,0.5,10,65000,40000,40000,2,English,больше 100,Другое,
02.01.2016 7:35:45,40,m,München,Front-end developer,0.5,11,43200,43200,60000,2,English,50-100,Агентство,
02.01.2016 7:54:38,25,f,München,qa manager,1,4,48000,,,1,English,больше 100,Продуктовая,
02.01.2016 10:16:53,29,f,Berlin ,Frontend developer,0,6,38000,12000,38000,1,English,10-50,Стартап,
02.01.2016 10:25:47,35,m,München,Senior Softwareentwickler,2,8,62000,36000,36000,2,English,больше 100,Продуктовая,
02.01.2016 10:29:50,30,m,München,Senior Qa Manager ,1,10,67000,65000,65000,1,English,больше 100,Продуктовая,
02.01.2016 12:41:15,31,m,München,Senior iOS Developer,3,10,76000,56000,56000,2,Deutsch,больше 100,Продуктовая,
02.01.2016 19:32:06,30,m,München,Senior Java dev,3,10,60000,50000,35000,2,English,больше 100,Продуктовая,
02.01.2016 19:33:09,30,m,München,Senior Java dev,3,10,60000,50000,35000,2,English,больше 100,Продуктовая,
02.01.2016 20:45:23,28,m,Berlin,Senior backend developer (PHP),1,7,52000,48000,48000,1,English,больше 100,Другое,
02.01.2016 20:46:55,28,m,Berlin,Senior backend developer (PHP),1,7,52000,48000,48000,1,English,больше 100,Другое,
02.01.2016 22:46:38,29,m,,Senior Software Developer,3,9,66000,64000,45000,2,Deutsch,больше 100,Продуктовая,
02.01.2016 22:54:11,30,m,München,Senior Full stack,3,10,65000,65000,65000,1,English,больше 100,Продуктовая,
02.01.2016 23:55:28,38,m,München,Senior Software Developer,13,16,74500,71500,42000,3,Deutsch,больше 100,Продуктовая,
03.01.2016 0:42:04,42,m,München,Senior Manager,15,20,97000,96000,42000,4,English,больше 100,Продуктовая,
03.01.2016 4:57:30,40,f,Berlin,,1,20,20000,12000,12000,1,Deutsch,до 10 сотрудников,Стартап,
03.01.2016 10:32:55,27,m,Berlin,Frontend developer,1,5,45000,41000,41000,1,English,10-50,Стартап,
03.01.2016 11:57:47,25,m,Hamburg,QA Engineer,"2,5",5,47000,,42000,2,English,больше 100,Продуктовая,
03.01.2016 11:58:54,28,m,Berlin,Frontend Developer,6,8,75000,55000,55000,2,English,больше 100,Стартап,
03.01.2016 12:13:05,28,m,Berlin,Ruby Dev,4,9,70000,60000,42000,1,English,10-50,Стартап,
03.01.2016 12:29:53,29,m,Berlin,.NET Developer,2,6,52000,47000,47000,1,English,50-100,Продуктовая,
03.01.2016 17:45:30,30,m,Hamburg,Software Engineer,2,9,75000,57000,57000,2,English,больше 100,Другое,
03.01.2016 20:36:31,26,m,Berlin,Frontend Developer,1.5,1.5,60000,51000,51000,1,English,больше 100,Стартап,
04.01.2016 9:46:45,31,m,Berlin,python engineer,1,8,50000,,50000,1,English,10-50,Продуктовая,
04.01.2016 12:19:40,29,m,Berlin,front-end developer,0,4,55000,,,1,English,больше 100,Продуктовая,
04.01.2016 12:43:25,36,m,Berlin,Senior PHP Developer,5,15,60000,50000,50000,2,English,до 10 сотрудников,Стартап,
04.01.2016 12:56:35,29,m,Berlin,Senior DevOps Engineer,0,8,72000,,66000,1,English,больше 100,Другое,
04.01.2016 13:03:24,29,m,Berlin,DevOps,1,7,50000,48000,48000,1,English,больше 100,Стартап,
04.01.2016 13:15:33,25,m,Berlin,Software Engineer,1,7,50000,50000,50000,1,English,10-50,Продуктовая,
04.01.2016 13:38:12,32,m,Berlin,Senior DevOps,0,10,65000,46200,65000,2,English,50-100,Стартап,
04.01.2016 14:08:08,27,m,Berlin,Product Manager,<1,3,48000,40000,48000,1,English,10-50,Стартап,
04.01.2016 17:02:51,34,m,München,PHP Developer,4,10,51000,51000,36000,3,English,10-50,Стартап,
04.01.2016 17:15:04,31,m,Berlin,Senior Front-end developer,1.5,6,53500,50000,50000,1,English,10-50,Продуктовая,
04.01.2016 17:43:04,29,m,München,Senior PHP Developer,1,10,55000,55000,55000,1,English,больше 100,Стартап,
04.01.2016 19:32:59,32,m,Essen,Senior .Net Developer,7,7,64000,62000,36000,3,Deutsch,50-100,Продуктовая,
04.01.2016 23:20:29,31,m,Berlin,Senior JavaScript Developer,0.5,10,41000,,41000,1,English,10-50,Стартап,
05.01.2016 0:06:04,26,m,,phpp developer,1,5,48000,,48000,1,English,10-50,Стартап,
05.01.2016 9:21:46,28,m,München,iOS Developer,1,6,57000,45000,45000,2,English,50-100,Продуктовая,
05.01.2016 11:17:48,22,m,Berlin,Junior Javascript Developer,0,0.5,42000,0,42000,1,English,больше 100,Продуктовая,"Диапазон: от 22 до 44.  Большинство значений варьируется на уровне нижнего предела. Медиана: 29,5."
05.01.2016 13:32:46,29,m,Dresden,Sr. Software Engineer 2,4,10,70000,67000,36000,2,English,больше 100,Продуктовая,
05.01.2016 17:42:12,35,m,Berlin,Javascript Developer,1,5,48000,39000,39000,2,English,больше 100,Продуктовая,
05.01.2016 19:17:55,39,m,Berlin,Test Automation Engineer,2,12,62000,57000,57000,2,English,больше 100,Продуктовая,
06.01.2016 11:11:49,26,m,Kharkiv,Lead Frontend developer,0,7,68000,,65000,1,English,50-100,Стартап,
06.01.2016 11:37:38,27,m,Berlin,Senior Engineer,2,7,94000,65000,53000,3,English,больше 100,Продуктовая,
06.01.2016 11:58:18,31,m,Berlin,Senior Front-end Developer,0,13,68000,,68000,1,English,больше 100,Продуктовая,
06.01.2016 14:41:53,32,m,Berlin,C# developer,1,12,52000,47000,47000,1,English,50-100,Продуктовая,
06.01.2016 15:08:21,27,m,Berlin,iOS developer,1,4,56000,33000,33000,2,English,больше 100,Другое,
06.01.2016 15:25:43,33,m,Berlin,Data Engineer,1.5,10,62000,60000,60000,1,English,больше 100,Продуктовая,
06.01.2016 16:48:53,33,m,Berlin,Software Engineer,1,10,58000,54000,54000,1,English,больше 100,Продуктовая,
06.01.2016 17:05:13,26,m,,DevOps,3,8,55000,,,2,English,10-50,Стартап,
07.01.2016 10:41:07,37,m,Berlin,Ruby Backend Developer,0.5,12,51000,33000,51000,1,English,10-50,Стартап,
07.01.2016 16:36:27,30,m,Berlin,Senior Java Developer,0,10,70000,30000,70000,1,English,больше 100,Продуктовая,
07.01.2016 22:54:50,24,m,Berlin,Senior Php Developer,1,,48000,48000,48000,1,English,больше 100,Продуктовая,
08.01.2016 14:14:01,30,m,München,Lead DB Developer,1,10,60000,,60000,1,English,больше 100,Продуктовая,
08.01.2016 18:16:44,28,f,Berlin,PHP Engineer,0,6,37000,12000,37000,1,English,50-100,Стартап,
09.01.2016 19:45:39,30,m,Berlin,Senior Java Developer,2,9,60000,60000,60000,1,English,больше 100,Другое,
10.01.2016 11:14:48,40,f,Berlin,Developer,10,10,48,46,38000,2,Deutsch,больше 100,Продуктовая,
10.01.2016 18:45:44,28,f,berlin,Analyst,3,3,48000,44000,36000,2,English,больше 100,Продуктовая,
11.01.2016 16:17:35,34,m,Munchen,DevOps Engineer,1,12,65000,,,2,English,больше 100,Продуктовая,
12.01.2016 0:28:17,29,m,Мюнхен,.net developer,1,6,40200,37000,37000,1,Deutsch,50-100,Другое,
13.01.2016 16:05:14,32,m,Berlin,Frondend Developer,1,9,44000,40000,40000,1,English,10-50,Продуктовая,
13.01.2016 16:22:48,25,m,Munich,Senior PHP Developer 1,1,3,50000,45000,45000,1,English,больше 100,Продуктовая,
13.01.2016 22:32:32,27,m,Munich,AE,0,5,75000,30000,75000,1,Deutsch,больше 100,Продуктовая,
13.01.2016 22:36:53,30,m,Берлин,iOS Developer,1,7,48400,,48400,1,English,до 10 сотрудников,Стартап,
14.01.2016 11:22:29,25,m,Berlin,Software Engineer,1.6,6,45000,42000,42000,1,English,больше 100,Другое,
14.01.2016 21:58:41,33,m,Berlin,Senior QA Automation Engineer,0,5,45000,,45000,1,English,50-100,Стартап,
17.01.2016 22:11:45,23,m,Köln ,Android Developer,2.5,2.5,37500,,,2,English,до 10 сотрудников,Стартап,
19.01.2016 15:51:44,35,m,Berlin,PHP Developer,0,13,48500,0,48500,1,English,50-100,Стартап,
19.01.2016 18:24:38,25,m,Berlin,PHP Developer,0,5,48000,,48000,1,English,больше 100,Стартап,
22.01.2016 16:13:12,25,m,Berlin,Middle iOS Developer,0,4,50000,,50000,1,English,больше 100,Продуктовая,
24.01.2016 0:54:25,31,m,Amsterdam,Sr. Full Stack Developer,1,8,54500,31000,54500,1,English,до 10 сотрудников,Стартап,
28.01.2016 17:41:06,28,m,Berlin,C Developer,1.5,6,50000,45000,45000,1,English,50-100,Продуктовая,
29.01.2016 19:53:14,,,,,,,,,,,,,,
03.02.2016 1:29:58,25,m,Винница ,,3 месяца ,3,400,6400,250,1,other,50-100,Другое,
05.02.2016 14:39:46,32,f,München,Senior Software Developer,10,11,64000,62000,40000,3,Deutsch,больше 100,Агентство,
08.02.2016 11:12:00,28,m,Hamburg,Product Manager,<1,8,50000,50000,50000,1,English,больше 100,Продуктовая,
10.02.2016 15:23:35,34,m,Berlin,System Engineer/DevOps,1,16,40800,40800,40800,1,other,10-50,Другое,
11.02.2016 23:55:10,29,m,Prague,Software Engineer 2,1,9,60000,59000,59000,1,English,больше 100,Продуктовая,
12.02.2016 10:31:04,30,f,München,Java Developer,"1,5",10,58000,53000,49000,1,English,50-100,Продуктовая,
06.03.2016 13:21:36,26,m,München,Software Entwickler,0,7,60000,,60000,1,English,больше 100,Продуктовая,
15.03.2016 16:38:19,31,m,Munich,Backend Programmer,3,5,53000,42000,42000,2,English,50-100,Продуктовая,
04.04.2016 23:45:25,24,m,Berlin,QA Automation Engineer,1,3,42000,36200,36200,1,English,10-50,Продуктовая,
07.04.2016 18:51:04,33,m,,test analyst,10,12,,,,,,,,
09.04.2016 21:49:20,25,m,Berlin,iOS Developer,0,3.5,48000,,,1,English,больше 100,Продуктовая,
12.04.2016 9:23:52,32,,Berlin,C# developer,"1,5",12,52000,47000,47000,2,English,больше 100,Продуктовая,
12.04.2016 12:52:24,27,m,Stuttgart,Junior,2,2,36000,24000,24000,3,Deutsch,10-50,Агентство,
20.04.2016 15:23:38,31,m,Amsterdam,Senior Mobile Developer,3,10,65000,65000,51200,2,English,50-100,Продуктовая,
22.04.2016 15:54:12,29,m,Hamburg,Senior Java Developer,1,8,60000,60000,60000,1,English,50-100,Стартап,
28.04.2016 12:58:30,25,m,Berlin,Marketing Maanager,1,5,55000,20000,40000,2,English,до 10 сотрудников,Стартап,
29.04.2016 21:14:58,30,m,München,QA Consultant,"0,5","0,5",43200,36000,36000,1,Deutsch,до 10 сотрудников,Агентство,
06.05.2016 15:27:03,23,m,Munich,Junior Java Developer,0,2,47000,11 000 (в Украине),47000,1,English,больше 100,Аутсорс (ну а вдруг),
11.05.2016 16:32:27,,m,,,,,,,,,Deutsch,50-100,Продуктовая,
13.05.2016 17:29:38,36,m,München,Senior Software Developer (C++),1,14,65000,,35000,2,English,больше 100,Продуктовая,
05.06.2016 20:35:16,32,m,berlin,Full steak,4,13,80000,57000,48000,5,English,больше 100,Продуктовая,
07.06.2016 15:05:57,30,m,MUENCHEN,Dba,2,15,60000,60000,,,,,,
09.06.2016 9:56:31,28,m,Munich,Lead Graphics Programmer,1.5,9,45000,45000,45000,1,English,10-50,Агентство,
28.06.2016 15:11:41,27,m,München,middle DevOps,0,7,50000,,50000,1,English,10-50,Продуктовая,
01.07.2016 15:32:01,30,f,Munich,Middle embedded C/C++ developer,0,3.5,51000,"30000 (net, Kyiv)",51000,1,English,больше 100,Другое,
11.07.2016 15:55:59,27,m,Munich,PHP / Mgento developer,0.25,8,60000,45000,60000,1,English,10-50,Продуктовая,
13.07.2016 23:07:20,33,m,Munich,Senior Software engineer,1,10,50000,50000,50000,1,English,до 10 сотрудников,Стартап,
16.07.2016 21:22:01,28,m,Hamburg,PHP Developer,3,8,45000,45000,38000,2,English,больше 100,Стартап,
16.07.2016 23:57:13,27,m,Hamburg,Senior Backend Developer,2.5,7,55,52,48,1,English,больше 100,Продуктовая,
24.07.2016 17:28:51,29,m,Berlin,Software Engineer,0,9,65000,,,1,English,больше 100,Стартап,
01.08.2016 12:21:03,31,m,Munchen,Senior Java Developer,2,8,69000,55000,55000,2,English,больше 100,Продуктовая,
07.08.2016 20:24:18,,m,Hamburg,Product Manager,1,6,65000,65000,65000,1,English,больше 100,Продуктовая,
08.08.2016 22:15:39,37,f,Muenchen,Emergency Support Engineer,8,8,62000,57000,36000,3,English,больше 100,Продуктовая,
10.08.2016 18:26:57,28,m,Köln,Junior Frontend Developer,1.5,8,42000,42000,42000,1,Deutsch,10-50,Агентство,
11.08.2016 9:43:33,30,m,Berlin,Frontend Engineer,0,4,55000,,,1,English,больше 100,Продуктовая,
17.08.2016 14:57:12,31,m,Hamburg,Product Manager,2,8,112000,105000,105000,1,English,больше 100,Продуктовая,
18.08.2016 22:26:01,25,m,Berlin,iOS Developer,1 month,5,50000,,50000,1,English,больше 100,Стартап,
06.09.2016 20:11:54,32,m,München,Senior PHP Developer,1.5,9,52000,52000,52000,1,Deutsch,10-50,Агентство,
12.09.2016 17:35:10,30,m,Мюнхен,Python ,0.5,7,60000,,60000,1,Deutsch,,Продуктовая,
14.09.2016 11:39:27,31,m,München,Senior PHP Developer,4,10,,65000,60000,1,English,10-50,Стартап,
21.09.2016 15:49:15,31,m,Köln,PHP Developer,0,12,52000,52000,52000,1,English,50-100,Продуктовая,
22.09.2016 2:03:52,26,m,Berlin,Middle iOS Developer,1,4,52000,-,52000,1,English,больше 100,Продуктовая,
23.09.2016 10:49:51,23,m,München,Frontend Developer,0,3,45000,14000,45000,1,English,50-100,Продуктовая,
29.09.2016 10:31:52,,,,,,,,,,,,,,
04.10.2016 16:26:07,32,f,Köln,"Junior Developer (full stack Java, JS; ex Senior QA)",5,9,62000,60000,36000,1,Deutsch,50-100,Другое,
24.10.2016 15:07:39,30,f,Berlin,QA Lead,1,8,50000,47000,47000,1,English,50-100,Стартап,
26.10.2016 11:22:21,36,m,мюнхен,devops,0,15,,,,,English,50-100,Продуктовая,
03.11.2016 12:55:52,31,m,Karlsruhe,Web Developer,1,5,42000,42000,42000,1,English,10-50,Агентство,
07.11.2016 22:21:49,32,m,Munich,Data Analyst,0,10,62500,,62500,,English,больше 100,Агентство,
14.11.2016 17:43:57,29,m,Berlin,Senior PHP Developer,1,9,60000,10000,48600,2,English,больше 100,Стартап,
25.11.2016 11:31:34,29,m,München,front+back+devOps,0,6,63800,45000,65000,1,English,больше 100,Другое,
29.11.2016 21:42:16,28,m,München,Senior iOS Engineer,0,5,66000,0,66000,1,English,больше 100,Продуктовая,
29.11.2016 23:44:28,33,m,Berlin,Senior Product Manager,1,11,69000,65000,65000,1,English,10-50,Продуктовая,
30.11.2016 12:50:17,33,m,Mannheim,Seniour Architect,2,15,90000,66000,58000,2,English,10-50,Агентство,
04.12.2016 20:28:39,44,m,Munchen,Software Engineer,2,25,90000,86000,84000,1,English,больше 100,Продуктовая,
05.04.2017 13:29:26,29,m,Hamburg,Senior Java Developer,5,10,65000,65000,55000,3,English,50-100,Продуктовая,
09.08.2019 11:13:31,32,f,Berlin ,UI Designer ,4,6,45000,40000,35000,3,English,50-100,Продуктовая,
09.08.2019 11:14:14,32,f,Berlin ,UI Designer ,4,6,45000,40000,35000,3,English,50-100,Продуктовая,
09.08.2019 11:50:40,,,,,,,,,,,,,,